Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
Industri (energi och processer),Stockholms län,Upplands Väsby,5994.975,4977.48,5566.981,5760.12,6505.799,4520.581,4543.545,3230.142
Industri (energi och processer),Stockholms län,Vallentuna,1509.379,1471.648,1567.489,1725.885,1765.305,1566.022,1711.283,1397.456
Industri (energi och processer),Stockholms län,Österåker,1395.794,1462.607,1537.639,1654.819,1642.678,1523.688,1604.99,1394.728
Industri (energi och processer),Stockholms län,Värmdö,4835.835,4058.881,3236.538,3261.535,3012.582,1609.728,1488.181,1311.994
Industri (energi och processer),Stockholms län,Järfälla,4668.055,4514.647,3738.358,4206.229,4399.882,3838.091,4278.131,3342.776
Industri (energi och processer),Stockholms län,Ekerö,854.8421,903.6015,970.8599,1049.975,1036.71,960.3707,993.3921,852.5856
Industri (energi och processer),Stockholms län,Huddinge,15113.05,14306.96,14825.39,11432.94,5726.189,5031.297,5541.571,4427.619
Industri (energi och processer),Stockholms län,Botkyrka,9579.648,6769.028,6085.608,4625.713,4644.221,4259.886,4391.838,4614.421
Industri (energi och processer),Stockholms län,Salem,358.1072,429.0653,433.777,452.2417,420.2564,415.4457,400.0729,382.2402
Industri (energi och processer),Stockholms län,Haninge,3132.201,3200.335,3263.487,3598.598,3629.252,3285.376,3517.233,2952.119
Industri (energi och processer),Stockholms län,Tyresö,1929.207,1904.605,1970.476,2187.394,2246.645,1992.997,2169.608,1744.941
Industri (energi och processer),Stockholms län,Upplands-Bro,8485.384,7759.574,8035.715,8290.754,7950.703,7337.849,7600.069,7659.735
Industri (energi och processer),Stockholms län,Nykvarn,325.1848,338.9867,363.0375,391.4416,393.3626,367.6509,384.586,331.6678
Industri (energi och processer),Stockholms län,Täby,2963.296,2974.436,2948.811,3239.343,3299.883,2956.413,3203.993,2641.273
Industri (energi och processer),Stockholms län,Danderyd,1094.659,1201.179,1139.973,1226.731,1194.916,1109.31,1133.898,986.7168
Industri (energi och processer),Stockholms län,Sollentuna,6546.693,6604.041,6598.81,6638.595,6754.077,6462.313,6081.074,5075.327
Industri (energi och processer),Stockholms län,Stockholm,48395.37,48409.19,47958.77,53256.2,51172.05,48751.19,47410.59,41281.04
Industri (energi och processer),Stockholms län,Södertälje,31502.62,30707.42,23452.43,25060.9,28330.61,26816.14,24903.92,23944.46
Industri (energi och processer),Stockholms län,Nacka,3673.261,3651.485,4017.098,4406.671,4467.397,4039.27,4335.11,3622.236
Industri (energi och processer),Stockholms län,Sundbyberg,1291.938,1290.674,1350.296,1500.59,1528.225,1393.047,1508.188,1267.477
Industri (energi och processer),Stockholms län,Solna,3290.608,3272.067,3471.655,3866.294,3933.824,4535.452,5062.404,3558.505
Industri (energi och processer),Stockholms län,Lidingö,1410.94,1511.249,1519.257,1658.559,1629.963,1514.707,1563.851,1339.256
Industri (energi och processer),Stockholms län,Vaxholm,186.6292,226.015,289.1468,303.8473,280.8315,278.5992,265.7918,254.1442
Industri (energi och processer),Stockholms län,Norrtälje,25839.53,15002.91,11387.52,9334.064,5845.894,4150.181,5065.315,5401.669
Industri (energi och processer),Stockholms län,Sigtuna,1447.7,1499.491,1596.572,1754.495,1758.237,1616.443,1701.844,1439.711
Industri (energi och processer),Stockholms län,Nynäshamn,163842.2,123983.0,120572.4,137508.6,141722.4,125402.8,145827.2,201115.4
Transporter,Stockholms län,Upplands Väsby,70362.55,69321.15,65415.47,63847.17,62359.32,62447.31,60047.42,60224.19
Transporter,Stockholms län,Vallentuna,58742.61,57773.46,54659.1,53392.45,52210.03,52416.02,50420.62,62547.65
Transporter,Stockholms län,Österåker,68719.88,67379.33,63612.88,62373.8,61538.04,61864.44,59346.34,57788.33
Transporter,Stockholms län,Värmdö,84266.63,82726.17,75780.23,74853.03,74891.55,75355.0,71644.91,69589.67
Transporter,Stockholms län,Järfälla,69468.38,68006.42,64109.05,62509.61,61217.39,61454.02,59014.29,69160.6
Transporter,Stockholms län,Ekerö,43494.66,42790.57,40156.56,39230.41,38681.87,38477.95,37121.53,34636.93
Transporter,Stockholms län,Huddinge,129974.6,127038.4,119390.8,115995.6,113078.9,113302.8,108018.6,97879.13
Transporter,Stockholms län,Botkyrka,108818.9,106435.8,100194.1,97499.84,95142.75,95491.23,91209.3,81654.59
Transporter,Stockholms län,Salem,42331.9,41241.34,38942.73,38003.27,37249.72,37453.65,35858.18,36526.54
Transporter,Stockholms län,Haninge,138569.0,134673.0,121791.6,119027.9,118454.0,117381.9,110920.1,93229.83
Transporter,Stockholms län,Tyresö,18776.33,18419.93,17293.48,16828.25,16459.75,16466.44,15750.42,15031.57
Transporter,Stockholms län,Upplands-Bro,72131.65,70303.27,66605.94,64911.51,64278.59,64256.32,62046.73,76894.47
Transporter,Stockholms län,Nykvarn,44688.92,43704.27,41521.12,40562.82,39676.0,39970.36,38483.16,42135.0
Transporter,Stockholms län,Täby,82751.04,80915.23,76471.74,74580.09,72910.7,73364.64,70319.04,71092.1
Transporter,Stockholms län,Danderyd,53205.91,52033.44,49051.35,47767.34,46662.68,46888.71,44863.6,30567.84
Transporter,Stockholms län,Sollentuna,169578.8,165887.4,156284.3,152159.1,148557.0,149132.8,142556.8,127471.6
Transporter,Stockholms län,Stockholm,818394.7,800335.2,749306.7,727956.3,711151.2,712022.3,678738.5,602418.2
Transporter,Stockholms län,Södertälje,175172.9,171121.9,161155.8,157186.6,153878.2,154520.0,147930.5,140645.9
Transporter,Stockholms län,Nacka,92189.19,90176.08,84257.46,81960.05,80298.71,80482.76,76614.2,79699.39
Transporter,Stockholms län,Sundbyberg,18623.01,18219.05,17140.46,16662.18,16264.52,16304.01,15580.57,12485.38
Transporter,Stockholms län,Solna,144826.1,141582.4,133148.0,129374.2,126175.1,126527.7,120699.4,111830.2
Transporter,Stockholms län,Lidingö,12606.05,12309.39,11184.28,10966.47,10966.47,10952.78,10363.75,17109.2
Transporter,Stockholms län,Vaxholm,15178.27,14828.83,13123.66,12995.25,13130.93,13171.85,12573.21,14614.1
Transporter,Stockholms län,Norrtälje,152485.1,150223.2,140438.6,138040.9,135681.8,135798.7,130595.7,126530.7
Transporter,Stockholms län,Sigtuna,159366.2,162969.1,154223.0,151805.9,148677.8,146922.0,144842.8,143311.2
Transporter,Stockholms län,Nynäshamn,70114.97,67749.9,53767.17,53334.0,54660.23,52739.64,47378.99,42827.19
Arbetsmaskiner,Stockholms län,Upplands Väsby,6104.532,6465.614,6348.389,6461.651,6092.846,6158.823,5703.954,5742.106
Arbetsmaskiner,Stockholms län,Vallentuna,6110.06,6566.075,6473.424,6415.265,6345.771,6191.007,5910.411,6270.727
Arbetsmaskiner,Stockholms län,Österåker,5434.053,5796.261,5742.51,5779.876,5632.266,5679.38,5244.619,5332.23
